Component,Quantity,Description,Price (USD),Supplier
ESP32-WROOM-32E,1,ESP32-WROOM-32E,10,robu.in
PCM5102 I2S DAC Module,1,PCM5102 I2S DAC,20,amazon.in
ESC,1,F405 45 amps,105,amazon.in
Lithium battery protection,1,Flyrobo 3.7v,3,amazon.in
TFT IPS ST7789 Display Module,1,1.69in,5,robu.in
DT830D,1,ac/dc v and ohm,2,amazon.in
Tactile Push Buttons,1 Pack,6×4.3mm 2 Pin Round Buttons (One pack of 20),3,amazon.in
Rotary Encoder Module,2,KY-040,2,amazon.in
3.5mm Audio Jack Port,1,TRRS 3.5mm female jack port,1.5,amazon.in
3.5mm Male-to-Male Audio Cable,1,3.5mm TRRS to 3.5mm TRRS audio cable,1.5,amazon.in
Toggle On/Off Switch,1,Toggle switch (SPDT) 3-Pin,1,amazon.in
microSD Card Slot,1,Microbot Micro SD Card Slot,2,amazon.in
Resistor (10kΩ),1 Pack,10kΩ through-hole 1/4W,1,amazon.in
Resistor (100kΩ),1 Pack,100kΩ through-hole 1/4W,1,amazon.in
Resistor (1kΩ),1 Pack,1kΩ through-hole 1/4W,2,amazon.in
Resistor (2kΩ),1 Pack,2kΩ through-hole 1/4W,2,amazon.in
Resistor (220Ω),1 Pack,220Ω through-hole 1/4W (for LEDs),2,amazon.in
Li-Po Battery,2,4000 mAH,12,sharvielectronics.com
JST-PH 2-Pin Battery Connector,1 Pack,JST-PH 2-pin 2mm connector (male+female),2,amazon.in
IP2312 Charging Module,1 Pack,IP2312 Type C,3.5,amazon.in
USB-C Breakout Board,1 Pack,USB-C PD board,1,amazon.in
Solar Panel (MINI),1 Pack,Monocrystalline solar cell (6V 100mA) (Small Square),2,amazon.in
Solar Charging Controller Module,1,CN3065,2,amazon.in
Cap for tactile switches,24 (Moq 12/type),for 6x6 mm switches,1,sharvielectronics.com
LED Light,1 Pack,5mm,2,amazon.in
SanDisk 32GB microSD,1,UHS-1 Card,18,amazon.in
3.5mm Low-Impedance Audio Driver,1,DAC test aux,27,headphonezone.in
Perfboard,2,FR2- A Grade 12x18 cm,6,amazon.in
Acrylic sheet,1 Pack,"Transparent, 3mm, 8x10in",4.5,amazon.in
Knob for KY-040,2 Pack (Moq 2),6mm rotary shaft knob (2 is MOQ),2,amazon.in
KY009-5050,1,Common Cathode sys,1,amazon.in
Neodymium Magnets,1 Pack,Small circular,4,amazon.in
Hot Glue Gun,1,7mm,5,amazon.in
1N4007 Diode,1 Pack,1a 1000v Inverse Voltage Rectifier Diodes,1.5,amazon.in
Headers & Pins,1 Pack,2.54mm male/female headers,1,amazon.in
Audio Driver Unit,1,40mm oeh driver,27,amazon.in
Jumper Wires,1 Pack,(M-M M-F F-F),1,amazon.in
Serplex Jumper Wire Kit,1,Varied Length,5,amazon.in
Soldering Kit,1,desolder flux,3,amazon.in
Solder Wire,2,60/40 tin lead,2,amazon.in
DC-DC Buck Boost Converter,1 Pack,1.8v - 5v to 3.3v,1,sharvielectronics.com
MCP23017 IO Expander Serial Module,1,I2C Serial Interface,4,sharvielectronics.com
Ceramic Capacitor,1 Pack,1uf 50v code 105,2,amazon.in
Metal Clip,2,Clip to oraganize and firm wires,6,amazon.in
Single core solid hook up wire,2,22awg,4,amazon.in
Heat shrink tubing,1,Polyolefin,2,amazon.in
Pencil sharpener,1 Pack,(Required for the small screws it has) (No where available externally),1,amazon.in
Zip tie,1 Pack,,3,amazon.in
Super glue,1,For acrylic sheets,1.5,amazon.in
Enameled copper wire,1,36 Gauge,3,amazon.in
Glow in dark tape,1,,2,amazon.in
Protection tape,1,,2.5,amazon.in
Epoxy Resin,1,For acrylic sheet enclosure,2,amazon.in
Scoring Cutter,1,For acrylic sheet enclosure,1,amazon.in
Drill bits,1,For acrylic sheet enclosure,2,amazon.in
Ring,1,For acrylic sheet enclosure,3,amazon.in
Breadboard,1,,2,amazon.in
Type C charger,1,20W,4.5,amazon.in
Shipping Handling and GST,,,16,Multiple
Total Amount,,,360,
