#,Component,Quantity,Part Number / Description,Unit Price (USD),Total Price (USD),Supplier
1,ESP32-WROOM-32E,1,ESP32-WROOM-32E,10,10.0,robu.in
2,PCM5102 I2S DAC Module,1,PCM5102 I2S DAC,20,20.0,amazon.in
3,Lithium battery protection,1,Flyrobo 3.7v,3,3.0,amazon.in
4,SDGG12864-68 Display,1,128×64 COG FSTN Mono LCD (ST7565R),6,6.0,sharvielectronics.com
5,DT830D,1,ac/dc v and ohm lcd display,2,2.0,amazon.in
6,Tactile Push Buttons,1 Pack,6×4.3mm 2 Pin Round Buttons (One pack of 20),3,3.0,amazon.in
7,Rotary Encoder Module,2,KY-040,1,2.0,amazon.in
8,3.5mm Audio Jack Port,1,TRRS 3.5mm female jack port,1.5,1.5,amazon.in
9,3.5mm Male-to-Male Audio Cable,1,3.5mm TRRS to 3.5mm TRRS audio cable,1.5,1.5,amazon.in
10,Toggle On/Off Switch,1,Toggle switch (SPDT) 3-Pin,1,1.0,amazon.in
11,microSD Card Slot,1,Microbot Micro SD Card Slot,2,2.0,amazon.in
12,Resistor (10kΩ),1 Pack,10kΩ through-hole 1/4W,1,1.0,amazon.in
13,Resistor (100kΩ),1 Pack,100kΩ through-hole 1/4W,1,1.0,amazon.in
14,Resistor (1kΩ),1 Pack,1kΩ through-hole 1/4W,2,2.0,amazon.in
15,Resistor (2kΩ),1 Pack,2kΩ through-hole 1/4W,2,2.0,amazon.in
16,Resistor (220Ω),1 Pack,220Ω through-hole 1/4W (for LEDs),2,2.0,amazon.in
17,Li-Po Battery,2,800 mAH slim,6,12.0,sharvielectronics.com
18,JST-PH 2-Pin Battery Connector,1 Pack,JST-PH 2-pin 2mm connector (male+female),2,2.0,amazon.in
19,IP2312 Charging Module,1 Pack,IP2312 Type C,3.5,3.5,amazon.in
20,USB-C Breakout Board,1 Pack,USB-C PD board,1,1.0,amazon.in
21,Solar Panel (MINI),1 Pack,Monocrystalline solar cell (6V 100mA) (Small Square),2,2.0,amazon.in
22,Solar Charging Controller,1,CN3065,2,2.0,amazon.in
23,Cap for tactile switches,24 (Moq 12/type),for 6x6 mm switches,~0.04,1.0,sharvielectronics.com
24,LED Light,1 Pack,5mm,2,2.0,amazon.in
25,SanDisk 32GB microSD,1,UHS-1 Card,18,18.0,amazon.in
26,3.5mm Low-Impedance Audio Driver Unit,1,DAC check aux,21,21.0,headphonezone.in
27,Custom 2-Layer PCB,5 (Moq 5),2-layer custom design (5 is MOQ),3,15.0,lioncircuits.com
28,3D Print for Enclosure,1,Custom design (.step),15,15.0,robu.in
29,Knob for KY-040,2 Pack (Moq 2),6mm rotary shaft knob (2 is MOQ),1,2.0,amazon.in
30,KY009-5050,1,Common Cathode sys,1,1.0,amazon.in
31,Neodymium Magnets,1 Pack,Small circular,4,4.0,amazon.in
32,Hot Glue Gun,1,7mm,5,5.0,amazon.in
33,1N4007 Diode,1 Pack,1a 1000v Inverse Voltage Rectifier Diodes,1.5,1.5,amazon.in
34,Headers & Pins,1 Pack,2.54mm male/female headers,1,1.0,amazon.in
35,Jumper Wires,1 Pack,(M-M M-F F-F),1,1.0,amazon.in
36,Serplex Jumper Wire Kit,1,Varied Length,5,5.0,amazon.in
37,Soldering Kit,1,desolder flux,3,3.0,amazon.in
38,Solder Wire,2,60/40 tin lead,1,2.0,amazon.in
39,3.3v Regulator HT7533 IC,1 Pack,100MA LDO TO-92 HT 7533 IC 3.3 v,3,3.0,amazon.in
40,Ceramic Capacitor,1 Pack,1uf 50v code 105,2,2.0,amazon.in
41,Shipping & Handling,1,Combined estimated shipping,10.0,10.0,Multiple
